fecha_dia,ingreso_total_mxn,n_tickets,tasa_bebida
2025-06-01,260775.0,1261,0.7406819984139572
2025-06-02,297035.0,1414,0.7496463932107497
2025-06-03,305900.0,1458,0.7613168724279835
2025-06-04,296760.0,1414,0.7659123055162659
2025-06-05,313610.0,1499,0.7571714476317545
2025-06-06,259340.0,1238,0.7512116316639742
2025-06-07,265350.0,1270,0.7401574803149606
2025-06-08,251890.0,1216,0.7286184210526315
2025-06-09,305305.0,1459,0.7422892392049348
2025-06-10,297410.0,1422,0.7419127988748242
2025-06-11,308515.0,1489,0.7253190060443251
2025-06-12,309300.0,1470,0.7523809523809524
2025-06-13,265630.0,1260,0.7722222222222223
2025-06-14,265290.0,1265,0.7612648221343874
2025-06-15,260785.0,1253,0.75658419792498
2025-06-16,303400.0,1454,0.7489683631361761
2025-06-17,304665.0,1456,0.7541208791208791
2025-06-18,308620.0,1456,0.7644230769230769
2025-06-19,305375.0,1458,0.752400548696845
2025-06-20,257470.0,1229,0.7225386493083807
2025-06-21,260280.0,1252,0.731629392971246
2025-06-22,258515.0,1231,0.7611697806661251
2025-06-23,306105.0,1464,0.7411202185792349
2025-06-24,295630.0,1408,0.7556818181818182
2025-06-25,311855.0,1476,0.747289972899729
2025-06-26,310095.0,1479,0.751183231913455
2025-06-27,259195.0,1239,0.7473769168684423
2025-06-28,254585.0,1229,0.7347436940602116
2025-06-29,272860.0,1303,0.7567152724481965
2025-06-30,306505.0,1466,0.7694406548431105
2025-07-01,314885.0,1498,0.7570093457943925
2025-07-02,305510.0,1466,0.762619372442019
2025-07-03,308045.0,1460,0.7561643835616438
2025-07-04,262790.0,1258,0.7321144674085851
2025-07-05,255605.0,1227,0.7538712306438468
2025-07-06,250210.0,1200,0.7316666666666667
2025-07-07,307955.0,1475,0.7376271186440678
2025-07-08,297240.0,1420,0.7422535211267606
2025-07-09,297540.0,1421,0.7297677691766362
2025-07-10,319915.0,1518,0.7602108036890646
2025-07-11,263145.0,1256,0.7547770700636943
2025-07-12,261040.0,1244,0.7709003215434084
2025-07-13,259215.0,1239,0.7393058918482648
2025-07-14,300175.0,1447,0.7463718037318591
2025-07-15,299260.0,1425,0.7543859649122807
2025-07-16,288200.0,1374,0.74235807860262
2025-07-17,288050.0,1378,0.7445573294629898
2025-07-18,257455.0,1226,0.7381729200652528
2025-07-19,270260.0,1294,0.7349304482225657
2025-07-20,269965.0,1276,0.7570532915360502
2025-07-21,299765.0,1430,0.7566433566433567
2025-07-22,298855.0,1431,0.7547169811320755
2025-07-23,314525.0,1497,0.7695390781563126
2025-07-24,299840.0,1425,0.7494736842105263
2025-07-25,270435.0,1296,0.7692901234567902
2025-07-26,256835.0,1236,0.7419093851132686
2025-07-27,262970.0,1261,0.7446471054718478
2025-07-28,306705.0,1465,0.7262798634812286
2025-07-29,294160.0,1416,0.7464689265536724
2025-07-30,310085.0,1480,0.7445945945945946
2025-07-31,317360.0,1512,0.7625661375661376
